EST1,EST2,EST3,SST1,SST2,SST3,BEQ1,BEQ2,BEQ3,BEQ4,BEQ5,BEQ6,BEQ7,BEQ8,BEQ9,BEQ10,RVL1,RVL2,RVL3,RVL4,RVL5,COR1,COR2,COR3,COR4,COR5,COR6,COR7,COR8,COR9,ICT1,ICT2,ICT3,ICT4,SUS1,SUS2,SUS3,SUS4,SUS5,SUS6,SUS7,SUS8,SUS9,SUS10,SUS11,SUS12,SUS13,SUS14,SUS15,SUSA,SUSB,SUSC,QK
6,6,6,6,6,6,7,6,5,4,6,6,6,6,6,6,7,7,7,7,7,6,5,6,6,5,6,6,6,5,5,5,5,6,5,5,5,5,5,5,5,7,7,5,5,5,7,7,7,-0.356,-0.177,0.88,Negocio
7,7,7,7,7,7,7,7,7,7,6,7,7,5,7,6,7,7,7,6,7,7,7,7,7,4,7,6,6,6,5,6,6,6,6,7,7,7,7,6,7,7,7,7,7,7,7,7,7,1.274,1.489,0.88,Ocio
7,6,6,4,5,5,5,5,5,5,4,5,5,5,4,5,7,7,7,7,7,7,5.726923076923077,5,5,7,7,7,7,7,5,5,4,6,7,7,6,6,6,6,5,7,7,7,6,6,6,6,6,0.744,0.934,-0.552,Negocio
5,5,5,5,5,5,7,6,6,3,5,6,5,5,5,5,7,7,7,6,5,6,5,5,6,4,6,6,4,5,5,3,4,5,6,6,6,6,6,6,6,7,7,4,4,4,7,7,7,0.586,-1.01,0.88,Negocio
7,6,4,3,6,6,6,5,5,1,2,7,2,2,1,1,7,7,7,7,7,5,6,6,5,7,6,7,6,7,5,5,5,6,6,6,7,6,3,3,1,6,7,5,5,3,7,7,7,-0.641,-0.713,0.88,Ocio
6,6,6,6,6,6,6,6,6,4,5,6,3,3,3,3,6,6,6,6,5,6,5,5,6,4,5,5,5,5,7,5,4,6,6,6,6,6,6,6,6,6,7,5,5,5,6,6,6,0.436,-0.177,-0.552,Ocio
7,7,7,7,7,7,7,6,5,4,4,7,7,7,6,6,7,7,7,6,7,5.780769230769231,7,7,7,7,7,7,6,7,6,4,4,6,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,1.403,1.489,0.88,Negocio
5,6,5,5,5,5,5,5,5,4,4,4,4,6,4.535580524344569,4.543396226415094,7,7,7,7,7,7,6,7,6,6,6,7,6,7,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0.436,0.656,-0.552,Negocio
6,6,6,6,6,7,7,2,2,2,4,5,3,3,3,3,7,7,7,7,6,6,6,6,6,4,7,6,5,5,5,5,5,6,5,5,5,5,5,5,5,6,7,4,4,4,7,7,7,-0.506,-1.01,0.88,Ocio
7,6,7,7,7,7,7,4,7,7,6,6,6,7,7,7,7,6,6,6,6,7,7,7,7,6,6,6,6,7,5,5,5,5,5,5,7,7,7,5.20532319391635,1,7,7,7,7,7,6,7,5,0.175,1.489,-0.601,Ocio
4,4,5,5,5,5,3,3,4,5,4,5,4,6,6,6,7,7,7,7,7,5,5,5,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,7,5,5,4,6,6,6,0.436,-0.445,-0.552,Negocio
5.513207547169811,4,6,4,4,4,5,5,5,5,4,5,5,4,4,4,7,7,7,7,7,6,6,5,5,6,6,5,5,5,5,4,5,5,4,4,4,4,3,6,5,6,7,5,6,6,7,6,7,-1.217,0.378,0.427,Ocio
4,4,4,3,3,3,6,4,4,4,4,5,4,4,4,4,6,6,6,6,6,5,3,3,4,3,5,5,5,4,4,2,4,5,2,3,5,5,5,3,4,6,7,4,4,4,6,7,6,-1.507,-1.01,-0.098,Negocio
4,4,4,3,3,3,7,7,6,7,6,7,5,6,6,6,7,6,7,6,7,6,6,6,6,6,6,6,6,6,7,5,5,5,5,5,5,5,5,5,6,5,6,6,6,6,6,7,7,-0.555,0.656,0.404,Ocio
5,5,5,5,5,5,7,6,5,3,5,6,5,5,5,5,6,6,6,6,5,5,5,3,5,4,6,6,6,6,4,4,4,5,4,4,5,5,5,4,4,5,7,3,3,3,7,7,7,-1.143,-1.844,0.88,Ocio
5,6,6,6,5,5,7,4,4,4,3,6,5,4,4,4,6,6,7,7,7,5,5,5,5,5,6.093984962406015,5,5,5,4,4,4,4,4,4,4,5,4,4,5,5,5,5,5,5,5,5,5,-1.335,-0.177,-1.984,Ocio
6,6,6,6,6,6,7,6,5,2,5,5,5,5,5,5,7,7,6,6,6,6,4,4,6,5,6,6,6,6,4,3,4,5,5,4,5,5,6,4,4,7,7,6,6,6,7,7,7,-0.592,0.656,0.88,Ocio
7,7,7,7,7,7,7,6,6,2,2,7,4,4,4,4,7,7,7,5,5,3,4,3,4,4,7,6,6,4,4,3,4,5,7,6,6,6,7,5,6,7,7,6,6,5,6,6,6,0.711,0.388,-0.552,Ocio
6,6,6,6,6,6,7,6,5,3,5,6,6,6,6,6,7,7,7,7,7,6,5.726923076923077,6,5,4,6,6,5,6,5,4,4,6,6,6,6,6,6,6,6,7,7,5,5,5,7,7,7,0.586,-0.177,0.88,Negocio
6,6,7,6,6,6,5,5,6,6,6,6,4,3,4,4,6,6,5,5,6,6,6,6,5,6,7,6,6,5,4,4,4,5,5,5,6,6,6,5,5,6,7,5,4,4,6,7,6,-0.051,-0.733,-0.098,Ocio
5,4,6,6,6,5,6,5,5,2,3,5,3,3,3,3,7,7,6,5,6,5,5,5,5,3,5,5,5,5,3,2,4,5,3,3,5,5,5,2,3,5,7,5,5,4,7,7,7,-1.755,-0.445,0.88,Negocio
7,6,3,6,7,6,6,6,4,4,5,5,5,5,5,5,7,6,5,4,7,3,5,5,5,6,6,6,5,7,3,1,3,4,7,6,6,6,5,5,5,5,6,4,5,4,6,5,6,0.065,-0.723,-1.005,Ocio
6,6,5,5,5,5,5,5,5,5,5,4,5,5,5,5,6,6,6,6,6,6,5,5,6,6,6,5,5,5,5,5,3,6,4,4,5,5,5,5,5,6,7,6,6,5,6,6,6,-0.766,0.388,-0.552,Ocio
2,2,2,2,2,2,5,2,2,2,2,2,3,3,3,3,7,7,7,7,7,3,6,6,5,4,6,6,5,6,3,3,4,5,3,4,5,5,5,3,4,7,7,4,4,4,7,7,7,-1.096,-1.01,0.88,Ocio
4,5,3,3,2,1,5,1,2,2,2,1,3,2,6,3,7,7,6,7,7,7,5,4,6,6,6,6,6,6,5,3,4,5,6,6,6,6,6,4,5,5,7,6,5,6,7,7,7,-0.067,0.369,0.88,Ocio
5,5,5,5,5,5,7,6,5,3,5,5,5,5,5,5,6,6,6,6,5,3,2,2,4,3,5,5,4,4,3,2,2,4,6,6,6,6,6,4,4,7,7,5,4,4,7,7,6,0.132,-0.733,0.378,Ocio
6,6,6,6,6,6,6,5,5,2,4,5,5,5,5,5,6,6,6,4,4,5,4,3,5,4,5,5,4,5,5,4,4,5,4,4,5,5,5,4,4,6,7,4,4,4,6,7,6,-0.993,-1.01,-0.098,Negocio
4,4,4,4,4,4,6,5,5,2,4,5,6,6,6,6,6,5,6,4,4,4,4,3,4,4,5,4,4,4,3,3,4,5,3,3,5,5,5,3,3,6,7,3,3,3,6,6,6,-1.479,-1.844,-0.552,Ocio
3,3,5,5,3,3,6,5,5,5,5,5,5,5,5,5,6,7,7,7,7,7,6,6,7,7,7,7,6,6,6,5,5,5,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,0.209,0.656,-0.552,Ocio
2,2,2,2,2,2,3,2,2,2,2,2,3,3,3,3,7,7,7,7,6,3,4,3,4,4,6,6,4,5,4,2,3,5,3,3,5,5,5,4,3,5,7,3,3,3,7,7,7,-1.505,-1.844,0.88,Negocio
4,4,3,7,6,6,5,6,5,5,4,4,4,4,4,4,5,5,6,5,7,6,6,7,6,6,6,6,5,6,5,4,6,6,6,6,6,6,5,6,6,6,6,5,5,5,7,7,7,0.314,-0.177,0.88,Ocio
5,7,5,7,6,6,6,6,5,7,4.370786516853933,7,2,5,5,5,7,6,6,7,7,7,7,7,6,5,6,7,6,7,5,5,5,5,7,7,7,7,7,7,7,6,6,6,6,7,7,7,6,1.378,0.924,0.378,Ocio
6,6,6,6,6,6,6,6,6,3,5,6,5,5,5,5,6,7,6,7,6,6,5,5,5,4,6,4,5,5,4,3,4,3,6,6,6,6,6,6,6,6,7,5,5,5,6,7,6,0.436,-0.177,-0.098,Ocio
4,4,4,3,4,4,6,4,4,1,2,4,4,4,4,4,7,7,7,6,6,6,5,5,6,4,6,4,5,4,6,5,4,6,4,5,6,6,6,5,5,7,7,5,5,5,6,7,6,-0.029,-0.177,-0.098,Ocio
5,4,5,5,5,5.537593984962406,5,5,4,4,5,5.169172932330827,4,5,5,5,7,6,6,6,7,6,6,6,5,5,6,6,5,6,4,4,3,3,5,5,6,5,5,5,5,6,7,5,4,4,7,6,6,-0.334,-0.733,-0.076,Ocio
6,6,6,6,6,6,7,6,6,4,5,6,5,5,5,5,7,6,7,6,5,5,5,5,5,4,5,5,4,4,3,3,5,6,4,5,6,6,6,4,5,7,7,5,5,5,6,7,6,-0.154,-0.177,-0.098,Ocio
5,5,5,5,5,5,7,6,4,4,4,5,4,4,3,3,5,5,5,5,5,5,5,5,5,5,6,5,5,6,5,4,4,5,4,4,5,5,5,4,4,5,7,3,3,3,5,6,5,-1.143,-1.844,-1.53,Ocio
5,4,4,4,5,5,7,6,4,4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,5,5,6,5,4,4,5,4,4,5,5,5,4,4,5,7,3,3,3,6,6,6,-1.143,-1.844,-0.552,Ocio
5,5,5,5,5,5,7,5,5,2,5,5,5,5,5,5,6,6,6,6,6,2,2,2,3,4,5,5,4,5,2,2,2,4,5,5,5,5,5,5,5,7,7,6,6,6,7,7,7,-0.356,0.656,0.88,Ocio
