"CUESTIONARIO","TRUST1","TRUST2","TRUST3","COMMIT1","COMMIT2","COMMIT3","COMMIT4","VCC1","VCC2","VCC3","VCC4","VCC5","VCC6","ECOSAT1","ECOSAT2","ECOSAT3","SOCSAT1","SOCSAT2","SOCSAT3"
248,7,7,7,5,5,5,5,1,4,5,5,5,6,6,6,5,5,6,5
249,7,7,7,7,6,7,7,6,5,1,1,5,4,7,5,6,6,6,7
250,3,6,4,4,4,7,7,1,7,7,2,6,1,7,3,1,7,6,7
251,6,6,6,7,6,7,7,1,1,1,5,5,5,6,5,6,7,6,6
252,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7
253,7,7,7,7,4,7,7,7,1,7,7,7,7,3,7,1,7,7,1
254,7,7,7,7,7,7,7,7,7,7,7,7,7,3,7,7,7,7,7
255,7,7,7,7,5,7,5,7,6,6,6,6,6,6,6,6,6,6,5
256,6,7,6,6,6,7,7,1,5,5,1,6,6,6,5,5,7,5,7
257,6,7,6,6,4,7,6,1,1,1,1,7,6,5,4,3,6,5,5
258,6,6,7,5,5,5,5,1,1,5,1,5,7,5,5,5,7,7,5
259,6,5,5,5,4,6,5,3,1,7,4,6,5,3,4,1,2,5,3
260,5,4,4,3,3,4,4,1,4,3,3,4,3,5,5,5,3,5,5
261,6,7,7,7,7,7,6,6,3,5,5,6,6,7,7,3,3,6,7
262,7,7,7,6,6,7,7,1,1,7,1,7,6,5,6,4,7,6,6
263,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
264,7,7,7,7,7,7,7,4,4,5,1,5,5,7,7,7,7,7,7
265,7,7,7,7,7,7,7,1,7,7,1,6,7,6,7,7,7,7,7
266,7,7,7,7,7,5,7,1,3,7,2,5,7,6,7,7,7,7,7
267,6,5,6,4,4,6,5,3,5,7,2,5,6,4,4,3,6,6,6
268,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
269,7,7,7,7,5,7,6,4,5,6,5,6,7,5,6,6,6,6,6
270,7,7,7,7,7,7,7,1,7,7,7,5,7,7,7,7,7,7,7
271,6,5,5,5,5,1,5,2,2,6,6,6,6,3,3,4,7,5,4
272,5,5,6,5,4,6,5,5,4,6,5,5,5,5,5,5,5,5,5
273,7,7,7,7,7,7,7,6,7,6,7,7,7,6,6,7,7,6,7
274,6,6,7,6,6,6,6,4,5,5,6,5,5,5,6,5,5,6,6
275,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
276,6,6,6,6,5,5,6,1,1,5,5,6,6,5,5,6,6,6,6
277,6,6,6,6,6,7,7,4,4, ,6,7,7,6,6,6,7,7,
278,7,7,7,4,4,7,6,1,1, ,4,7,4,6,4,4,4,4,6
279,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
280,5,4,6,4,4,5,6,2,5,5,3,5,5,5,6,6,6,6,4
281,7,7,7,7,7,7,7,1,1,7,7,7,7,5,7,6,7,7,7
